Job_Title,Company_Name,Location,Summary,Days_Posted_Ago
Research & Development (Neural Machine Translation) Internsh...,IIT Bombay,"Mumbai, Maharashtra","Work on data cleaning, pre-processing, and text parsing 2.
The Indian Institute of Technology, Bombay (IITB) is one of the fifteen higher institutes of…",10 days ago
Data Science Engineer,Mystro,"Mumbai, Maharashtra",Building advanced ML models for statement processing and transaction data processing on top of existing technology stack for understanding Customers better and…,30+ days ago
Online Python Trainer (Female candidates only),Whitehat Education Technology Pvt. Ltd.,"Mumbai, Maharashtra","You'll teach students aged 15-18 coding (algorithms, data structure).
WhiteHat Jr* was created to solve the #1 gap in the global school system today.",30+ days ago
Sales Executive,Ninjacart,"Mumbai, Maharashtra","We do this effectively at lower cost, better speed and larger scale using integrated supply chain powered by technology, data science, infrastructure and…",30+ days ago
Associate Scientist Regulatory Affairs; Life Cycle Managemen...,Procter & Gamble,"Mumbai, Maharashtra","Procter & Gamble is one of the largest FMCG (Fast Moving Consumer Goods) company in the world with strong brands like Pampers, Ariel, Always, Gillette and Oral…",26 days ago
Back Office Executive - Freshers or Max 2 Years Experience,Novus Life Sciences Pvt. Ltd.,"Andheri, Mumbai, Maharashtra","9. Recording the data in Excel.
Back Office Assistant Executive - Good English Speaking & Writing Skills is a must.*.
1. Making Spreadsheets on Excel.",30+ days ago
Assistant Manager - Analytics,Colgate-Palmolive,"Mumbai, Maharashtra","Experience with third-party data i.e., syndicated market data, Point of Sales, etc.
Mine data through various technologies like BigQuery and SQL.",30+ days ago
Analyst - Analytics,Colgate-Palmolive,"Mumbai, Maharashtra","Experience with third-party data i.e., syndicated market data, Point of Sales, etc.
Update and manage master data sets.
Become part of our team.",25 days ago
Sales Executive,Ninjacart,"Mumbai, Maharashtra","We do this effectively at lower cost, better speed and larger scale using integrated supply chain powered by technology, data science, infrastructure and…",30+ days ago
Digital Campaign Consultant,Parantapa Sciences,"Mumbai, Maharashtra","Parantapa Sciences works towards solving complex problems using a data-driven, community-led, and design-based approach.
Total work: 3 years (Required).",2 days ago
Associate Clinical Data Manager,Ancillarie,"Mumbai, Maharashtra","Bachelor’s Degree (Science, Pharmacy, Life science), or Final Year Appeared with zero to one year of experience in Clinical Data Management.",30+ days ago
Data Science Engineer,Mystro,"Mumbai, Maharashtra",Building advanced ML models for statement processing and transaction data processing on top of existing technology stack for understanding Customers better and…,30+ days ago
Data Analytics Internship,MudraCircle,"Mumbai, Maharashtra","We have used plenty of AI, ML, and data science to build the platform.
Working on data categorization 3.
MudraCircle is an SME focused digital lending platform …",30+ days ago
Data Science and Growth Marketing Mumbai,Hungama Digital Media Entertainment,"Mumbai, Maharashtra",Mine data using state-of-the-art methods and interpret data and solve complex problems using expertise in a variety of data niches.,30+ days ago
Operations Associate,Apertum Online Pvt Ltd,"Mumbai, Maharashtra","Bachelor degree and above in a related subject (science major) would be beneficial.
The candidate is expected to be detail-oriented for financial data check…",4 days ago
