Job_Title,Company_Name,Location,Summary,Days_Posted_Ago
Data Scientist/ML Engineer,Paytm,Bangalore,The ML team within Paytm provides opportunities to innovate in a fast-paced organization that contributes to game-changing projects and technologies that get deployed on devices and the cloud. As an,"Apr 27, 2020"
Senior Data Scientist,Baker Hughes Incorporated,Bangalore,"Role Summary: We are looking for a highly motivated individual, passionate about technology to join Baker Hughes Digital team. As the Senior Data Scientist, in Baker Hughes Digital, you will","Apr 24, 2020"
Data Scientist,Inference Labs,Bangalore,We are looking for experienced data scientists with strong advanced analysis and machine learning model development experience. Data scientists will be working with a team of technical experts on the,"Apr 26, 2020"
Data Science Lead,D Cube Analytics,Bangalore,"Degree in applied math, statistics, machine learning or computer science. PhD MS is preferred Deep understanding of statistics and experience with machine learning algorithmstechniques Proven programming skillsin particular C++ and","Apr 27, 2020"
"Senior Software Engineer, Data Science & Services",Nvidia Corporation,Bangalore,"GeForce NOW instantly transforms nearly any laptop, desktop, Mac, SHIELD TV or Android mobile device into the PC gaming rig you ve always dreamed of. Instantly play the most demanding","Apr 28, 2020"
Data Scientist (Full time),Vicit Infot Tech,Bangalore,"Our problem lends itself to some really neat NLP constraints and machine learning challenges. On the one hand, you'll use NLP to increase the dynamism and responsiveness of our conversational","Apr 27, 2020"
Senior Business Analyst ? Business Intelligence & Data Sciences,VMware India,Bangalore,"The Enterprise Data & Analytics organization at VMware is looking for a customer- oriented, analytical and driven individual. VMware has a dynamic, rapidly growing environment and will require flexibility to","Apr 24, 2020"
Data Scientist,"PayPal Holdings, Inc.",Bangalore,"As a Data Scientist, you will apply your strategic and analytical skills to major company challenges. You will team with world-class professionals to identify actionable insights that ultimately impact the","May 02, 2020"
Data Engineer,"Palnar Transmedia Pvt Ltd.,",Bangalore,"Lead and deliver complete application lifecycle design, development, deployment, and support for actionable BI and Advanced Analytics solutions Participate on the implementation of AWS components to form a data lake","May 04, 2020"
Principal Consultant - Data Science,D Cube Analytics,Bangalore,"Principal Consultant Data Science Bangalore, Karnataka No. of positions 1 1 Job Duration Long Term Long Term Job Type Permanent Qualification Bachelors / Masters Experience 5 - 10 years Required","Apr 24, 2020"
Senior Data Scientist,Recruise,Bangalore,"Minimum Position Qualifications: Experience with computation languages such as R, Python (at least one of) Experience with database technologies and products (Redshift, MongoDB, MySQL, PostgreSQL, etc.) Experience with handling large","Apr 24, 2020"
Data Scientist -Technology,India Anlage Infotech (I) Pvt. Ltd.,Bangalore,"Roles and responsibilities Explore large datasets to surface useful trends, signals, and segments. The role drives business and industry solutions focused on Big Data and Advanced Analytics, in diverse domains","Apr 30, 2020"
Sr . Data Scientist,MENORAH PERSONNEL MANAGEMENT INDIA PRIVATE LIMITED,Bangalore,"12-15 years of experience in total, with 7+ year as data scientist in Data Processing, Data Querying, Analytical Data set Creation, Analytical Algorithms, Analytical Model Creation, Interpretation and presentation of","Apr 22, 2020"
Distributed Computing/ Data Analytics developer,Novell Software Development India Pvt Ltd,Bangalore,"Part of the Micro Focus group of companies, we are a fast- paced, all- hands- on- deck kind of environment where you are respected and listened to from day one.","May 04, 2020"
Sr Data scientist,VEGA Intellisoft Private Limited,Bangalore,"Sr. Data Scientist ----------------- Preferably 10-12 years in Analytics , Business Intelligence & Data warehousing. 8+ years of experience, in Data Processing, Data Querying, Analytical Dataset Creation, Analytical Algorithms, Analytical","May 04, 2020"
Data Scientist,AXCESS CONSULTANCY SERVICES,Delhi,"Position - Data Scientist Qualification - Btech, BCA, MCA (Any Graduate or Post Grad with all the specified skill sets will also work Experience - 4 to 8 Years Job","May 03, 2020"
Senior Data Scientist,Nanobi Data And Analytics Pvt Ltd,Bangalore,"Expert understanding and demonstrated skills of using ""R"". Exposure to SAS, Python, SPSS, Julia etc also an advantage. Excellent ability to assimilate multi- disciplinary problems across industries, createhypotheses and craft","May 02, 2020"
Lead / Principal Data Scientist,AXCESS CONSULTANCY SERVICES,Bangalore,"Candidate has atleast 7- 8 years of rich experience in Data scienceCandidate has rich experience in Statistical modeling, Text mining( most important) scoring models, response models, optimization, forecasting, segmentation, and","May 03, 2020"
Data Scientist,Denave India Pvt Ltd.,Bangalore,"The role requires deep knowledge in designing , planning , testing and deploying analytics solutions including the following: Advanced Semantic Design , Information Extraction , Information Retrieval , Probabilistic Decision","Apr 30, 2020"
Senior Data Scientist,Baker Hughes Incorporated,Bangalore,"Role Summary: We are looking for a highly motivated individual, passionate about technology to join Baker Hughes Digital team. As the Senior Data Scientist, in Baker Hughes Digital, you will","Apr 24, 2020"
